task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6,c2-interleaved-1,c2-interleaved-2,c2-interleaved-3,c2-interleaved-4,c2-interleaved-5,c2-interleaved-6,c2-interleaved2-1,c2-interleaved2-2,c2-interleaved2-3,c2-interleaved2-4,c2-interleaved2-5,c2-interleaved2-6,c2-sequential-1,c2-sequential-2,c2-sequential-3,c2-sequential-4,c2-sequential-5,c2-sequential-6,c2-sequential-ewc-1,c2-sequential-ewc-2,c2-sequential-ewc-3,c2-sequential-ewc-4,c2-sequential-ewc-5,c2-sequential-ewc-6,c3-interleaved-1,c3-interleaved-2,c3-interleaved-3,c3-interleaved-4,c3-interleaved-5,c3-interleaved-6,c3-interleaved2-1,c3-interleaved2-2,c3-interleaved2-3,c3-interleaved2-4,c3-interleaved2-5,c3-interleaved2-6,c3-sequential-1,c3-sequential-2,c3-sequential-3,c3-sequential-4,c3-sequential-5,c3-sequential-6,c3-sequential-ewc-1,c3-sequential-ewc-2,c3-sequential-ewc-3,c3-sequential-ewc-4,c3-sequential-ewc-5,c3-sequential-ewc-6
anaphor_agreement,94.89,96.88,98.36,98.52,98.72,98.82,97.24,98.47,98.16,98.57,98.93,98.52,98.11,98.26,98.31,98.42,98.42,98.21,95.76,96.63,96.47,97.09,97.24,97.03,91.51,95.65,96.88,97.65,98.77,98.72,96.73,97.8,98.82,98.93,99.08,98.77,97.65,98.62,98.36,98.26,98.36,98.52,96.06,96.57,96.68,96.32,96.88,96.68,94.94,97.49,97.8,98.72,98.93,98.82,98.11,98.57,99.39,99.39,99.39,99.39,98.26,99.03,98.62,99.13,99.13,99.13,96.63,96.73,97.34,97.44,97.8,97.6
argument_structure,77.58,78.46,80.32,80.19,80.35,80.67,78.38,79.41,81.0,79.75,79.97,80.83,79.89,80.33,80.15,80.21,80.76,80.82,69.68,71.13,69.99,70.84,70.07,70.73,75.63,77.95,80.09,80.09,79.27,79.98,76.1,78.46,80.27,79.64,79.8,79.92,79.66,80.25,79.44,80.71,80.73,80.64,70.32,70.62,70.05,70.37,70.42,70.62,74.28,76.01,78.16,77.3,77.96,78.33,76.31,77.44,78.37,78.37,78.37,78.37,79.43,78.31,78.36,77.91,77.91,77.91,70.54,72.34,71.99,73.25,72.53,73.23
binding,72.89,75.2,74.89,76.31,75.97,76.64,73.86,75.48,74.46,75.82,75.91,75.5,73.45,73.2,75.17,76.34,75.99,76.11,69.74,69.0,68.58,67.79,67.72,68.36,70.26,73.27,73.58,74.21,74.77,75.36,72.66,73.97,73.27,74.56,75.3,75.5,74.92,74.44,76.17,77.04,75.68,76.73,67.38,66.46,68.74,68.76,68.34,68.54,73.67,74.99,73.42,75.78,75.22,75.3,76.8,77.04,77.31,77.31,77.31,77.31,74.58,75.87,77.06,76.97,76.97,76.97,73.92,74.22,72.78,72.86,73.37,72.91
control_raising,73.09,72.89,74.92,74.59,74.97,75.25,72.38,73.62,74.7,74.59,75.28,75.41,72.62,74.68,76.82,75.67,76.12,76.12,66.26,66.59,66.97,66.26,66.2,66.59,70.28,71.94,74.26,73.6,75.36,74.81,73.62,74.15,75.61,74.46,75.92,75.81,73.07,76.25,75.72,76.51,76.34,76.65,65.64,66.99,66.95,67.39,66.79,67.23,72.49,73.8,76.6,72.93,75.12,74.52,71.19,70.61,72.14,72.14,72.14,72.14,73.33,75.1,73.46,73.33,73.33,73.33,66.13,67.87,67.61,68.52,69.16,68.74
determiner_noun_agreement,92.51,93.7,94.21,95.43,95.48,95.54,93.58,94.14,94.99,95.07,95.19,95.24,93.81,95.7,95.9,96.79,96.31,96.43,83.55,83.48,81.69,82.44,83.59,83.66,90.8,92.22,94.38,94.67,94.58,95.11,94.4,94.21,95.92,95.52,95.7,96.05,95.24,96.06,96.25,96.63,96.45,96.55,84.74,85.48,85.55,86.86,86.42,86.41,91.54,93.45,93.98,95.13,94.68,95.15,92.42,93.85,94.7,94.7,94.7,94.7,94.72,95.98,95.23,96.21,96.21,96.21,83.36,86.71,85.47,86.69,86.83,87.48
ellipsis,84.18,83.89,83.49,85.39,85.51,84.41,82.97,83.6,80.48,82.22,82.74,83.37,85.33,83.26,82.68,83.37,83.66,82.39,74.25,72.23,72.11,71.02,73.04,72.52,80.89,85.22,84.3,85.1,82.04,83.14,80.14,83.03,81.58,81.87,81.99,81.93,84.06,83.14,83.78,82.91,84.12,83.83,69.69,68.82,71.13,69.0,71.13,70.15,78.87,80.54,82.45,83.03,84.18,82.56,80.37,83.37,82.68,82.68,82.68,82.68,85.68,85.51,82.85,85.28,85.28,85.28,71.77,71.42,72.11,73.79,73.04,73.38
filler_gap,73.51,75.26,72.61,74.37,75.29,75.23,72.78,74.01,72.83,73.26,74.62,74.07,74.07,75.83,75.72,76.7,76.84,76.13,66.01,65.86,65.56,66.62,66.74,66.74,71.2,74.73,75.3,75.38,75.09,75.69,72.04,73.65,74.37,74.84,75.4,75.51,73.12,74.67,75.93,75.38,75.18,75.24,67.21,66.67,67.26,66.81,66.98,66.88,72.77,76.19,76.07,75.77,76.07,76.58,73.87,74.95,73.16,73.16,73.16,73.16,77.23,75.96,75.75,76.35,76.35,76.35,67.97,68.99,69.67,69.23,69.34,69.41
irregular_forms,94.66,93.49,93.64,94.2,95.01,94.55,86.82,91.4,92.06,92.98,92.77,93.23,91.7,88.91,87.33,88.35,88.09,88.35,93.33,93.49,93.69,94.15,93.59,93.94,93.08,91.5,93.54,92.98,94.35,94.5,93.38,94.35,94.4,93.74,93.54,93.84,94.66,95.06,91.25,96.34,94.76,95.93,93.94,94.91,94.76,96.69,95.01,94.81,84.07,89.26,90.69,93.28,89.87,90.38,93.84,90.13,89.92,89.92,89.92,89.92,88.04,91.86,94.55,92.98,92.98,92.98,93.79,94.1,93.59,94.66,93.18,93.84
island_effects,53.96,59.6,64.16,57.06,62.59,62.07,58.07,61.77,61.58,62.03,60.16,60.87,60.76,60.65,64.87,63.6,63.98,63.04,52.91,52.84,51.72,52.99,52.58,53.25,52.95,61.1,60.54,61.21,63.34,63.79,62.03,65.43,64.54,66.41,67.3,68.09,64.39,66.41,68.76,70.18,68.09,67.41,58.52,53.74,53.96,55.79,54.3,54.04,54.41,58.89,61.14,60.28,62.89,64.2,59.98,58.67,62.29,62.29,62.29,62.29,61.58,65.17,65.77,66.48,66.48,66.48,51.12,54.6,56.39,55.68,56.13,56.13
npi_licensing,53.22,54.89,58.43,53.83,53.84,52.26,46.17,48.79,49.56,49.09,48.92,46.23,47.49,46.26,49.73,52.92,54.77,51.73,44.78,53.93,46.96,47.65,46.99,46.08,45.2,57.26,54.49,56.88,55.45,57.15,43.67,45.58,44.5,47.59,44.4,44.23,55.25,55.18,45.14,52.9,52.02,51.55,49.59,48.91,49.85,48.8,49.13,49.07,49.13,44.75,37.59,43.38,44.59,41.82,38.08,47.4,47.54,47.54,47.54,47.54,45.63,53.96,55.89,54.77,54.77,54.77,43.73,45.76,43.36,48.57,49.77,48.3
quantifiers,67.59,69.14,72.93,70.66,73.16,73.67,65.02,60.33,58.37,56.21,57.47,58.19,62.52,67.67,59.12,66.13,63.37,63.21,66.15,65.71,63.29,61.15,62.78,63.88,70.4,69.65,74.52,69.91,73.16,74.27,63.21,59.79,69.96,65.46,63.06,63.37,55.92,64.09,62.75,65.3,65.07,65.97,69.47,67.16,61.67,61.41,63.19,65.35,65.04,67.57,64.68,69.71,69.78,69.55,59.99,54.51,60.87,60.87,60.87,60.87,61.64,57.62,55.41,61.59,61.59,61.59,62.7,59.3,57.42,54.1,60.48,60.07
subject_verb_agreement,77.45,78.54,78.97,82.91,81.01,82.06,76.62,80.0,83.47,83.4,82.2,83.81,83.22,83.05,83.02,84.5,84.25,83.63,66.99,68.42,68.67,68.78,68.91,69.14,72.74,77.0,75.41,79.42,77.11,79.71,76.15,80.81,79.57,81.61,82.11,82.69,84.16,83.27,83.16,86.31,85.69,85.31,67.77,66.94,68.78,70.14,70.05,70.59,74.98,79.69,82.08,83.23,82.71,82.84,76.89,78.05,82.64,82.64,82.64,82.64,77.43,80.63,83.04,84.26,84.26,84.26,67.93,71.31,73.8,74.71,72.3,74.94
hypernym,48.02,48.95,49.65,48.95,48.84,48.37,48.6,49.3,50.0,49.3,47.21,49.19,47.56,47.44,45.93,45.7,44.53,46.05,49.3,49.53,49.88,49.88,49.42,49.88,49.07,48.14,46.05,48.14,48.72,48.72,47.33,48.26,45.58,46.4,45.7,45.12,46.51,46.4,47.09,46.16,48.14,46.51,47.91,47.09,48.49,48.37,48.84,49.07,49.77,46.98,47.67,48.14,47.44,47.21,46.05,48.49,49.07,49.07,49.07,49.07,44.88,44.77,45.47,45.0,45.0,45.0,49.65,49.88,49.3,49.42,49.88,48.84
qa_congruence_easy,62.5,68.75,75.0,75.0,76.56,75.0,65.62,70.31,64.06,70.31,65.62,70.31,62.5,70.31,71.88,70.31,70.31,73.44,46.88,48.44,51.56,53.12,51.56,53.12,62.5,71.88,71.88,68.75,71.88,73.44,67.19,75.0,70.31,71.88,67.19,70.31,67.19,71.88,75.0,68.75,70.31,70.31,56.25,54.69,56.25,56.25,56.25,54.69,62.5,68.75,73.44,75.0,75.0,73.44,62.5,70.31,73.44,73.44,73.44,73.44,67.19,70.31,70.31,71.88,71.88,71.88,57.81,53.12,56.25,51.56,53.12,53.12
qa_congruence_tricky,45.45,41.82,44.24,47.27,49.09,52.12,52.73,47.88,51.52,54.55,52.73,52.73,48.48,46.67,47.27,52.12,52.73,51.52,36.36,33.94,37.58,36.36,32.73,36.36,42.42,43.64,50.3,51.52,53.33,56.97,47.27,43.64,50.91,50.91,51.52,52.73,45.45,49.7,49.7,53.94,53.33,53.94,35.15,30.91,33.94,35.76,33.94,33.33,44.85,44.85,48.48,50.91,50.91,52.73,41.21,43.03,49.7,49.7,49.7,49.7,43.64,43.03,47.27,45.45,45.45,45.45,38.18,33.94,39.39,38.18,41.21,41.21
subject_aux_inversion,81.39,81.82,86.66,81.8,83.8,85.09,81.14,83.02,83.68,86.92,85.26,84.39,85.97,83.17,85.44,86.31,88.73,88.07,82.83,81.65,73.16,75.97,78.09,77.36,85.41,88.36,87.0,88.22,86.87,87.48,81.58,82.63,84.8,83.09,81.95,82.92,82.95,79.68,83.17,83.73,84.22,84.58,69.97,68.46,70.6,68.07,68.65,69.5,85.24,81.9,83.61,79.78,81.19,83.46,82.26,86.46,84.0,84.0,84.0,84.0,85.12,82.65,84.8,82.0,82.0,82.0,79.17,74.63,81.41,83.61,77.41,80.73
turn_taking,64.29,67.14,66.07,65.71,68.57,68.93,66.79,70.71,73.21,74.29,73.57,76.07,72.14,72.5,74.64,75.36,76.43,75.36,60.71,62.14,63.57,62.14,61.79,62.14,61.79,69.64,67.86,67.14,68.57,69.29,68.21,70.0,72.5,72.86,72.14,72.14,71.07,74.29,73.21,75.0,75.71,75.36,56.79,60.71,57.14,56.43,58.57,57.5,61.79,67.86,70.0,70.0,72.86,73.21,64.29,71.43,67.14,67.14,67.14,67.14,68.21,69.64,70.0,66.43,66.43,66.43,61.07,63.21,63.57,61.07,63.93,62.5
